titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Le Secret des banquises,13.0,203.0,3.0,3.0
Le Seigneur des anneaux : les deux tours,20.0,69855.0,4.0,4.5
Le Voyage d'Arlo,20.0,3510.0,3.3,3.9
Love- et autres drogues,11.0,4870.0,2.2,3.2
Lautre côté de lespoir,28.0,671.0,4.3,4.0
Margin Call,25.0,4289.0,4.0,3.8
Alvin et les Chipmunks - A fond la caisse,10.0,699.0,1.8,3.2
Bande de filles,30.0,1969.0,3.7,2.9
Fast & Furious : Tokyo Drift,13.0,9766.0,1.6,2.3
La Vague,19.0,9072.0,2.8,4.1
Les Kaïra,18.0,4575.0,3.3,2.4
Stardust- le mystère de l'étoile,20.0,5426.0,3.0,3.6
Strictly Criminal,26.0,3039.0,3.4,3.6
The Walk  Rêver Plus Haut,29.0,2658.0,3.5,3.8
Training Day,9.0,9897.0,3.1,3.8
Underworld,6.0,16154.0,2.3,3.3
Van Helsing,6.0,15806.0,2.3,2.6
Wùlu,15.0,76.0,3.1,3.8
X-Men,20.0,39617.0,3.5,3.9
99 francs,21.0,18155.0,3.0,3.2
A Scanner Darkly,21.0,2072.0,3.2,3.3
Green Lantern,20.0,10066.0,2.0,2.6
L'Illusionniste,27.0,12561.0,3.0,3.8
La Bûche,15.0,1045.0,3.3,2.3
La Fille Inconnue,30.0,683.0,3.1,2.9
La Rafle,24.0,10026.0,2.8,3.7
Monuments Men,29.0,6723.0,2.2,2.5
Priest,7.0,2890.0,3.0,2.6
Solitaire,13.0,772.0,2.5,2.6
The Raid 2,28.0,2826.0,3.7,4.2
Underworld : Nouvelle ère,8.0,5094.0,2.6,3.5
American girls,10.0,1318.0,2.7,2.4
Battle Royale,18.0,15402.0,3.5,3.6
Le Bruit des glaçons,24.0,4956.0,3.6,2.4
Le Monde fantastique d'Oz,18.0,8642.0,3.5,3.2
Les Femmes de l'ombre,23.0,2334.0,2.7,3.4
Prédictions,13.0,13132.0,2.8,2.8
We Need to Talk About Kevin,26.0,2715.0,3.7,4.0
Blood Ties,21.0,2139.0,2.5,3.2
Emily Dickinson- A Quiet Passion,22.0,112.0,3.4,3.0
La Chasse,26.0,3218.0,3.1,4.2
La Secrétaire,13.0,1316.0,3.7,2.9
Le Voyage au Groenland,21.0,308.0,3.5,3.6
Légion - L'Armée des anges,10.0,2587.0,1.7,1.7
Lone Ranger- Naissance d'un héros,27.0,10171.0,3.5,3.5
Revolver,25.0,2927.0,2.1,2.4
Samba,31.0,7065.0,3.6,3.4
Starbuck,19.0,7067.0,3.4,4.2
Steve Jobs,37.0,3417.0,3.8,3.3
The Reader,22.0,6683.0,3.0,4.0
Beetlejuice,3.0,17322.0,3.3,3.8
Hitman,8.0,10541.0,2.6,2.7
L'Auberge Espagnole,22.0,27300.0,3.6,3.7
L'Homme qui voulait vivre sa vie,22.0,4755.0,3.8,3.2
La Cage Dorée,14.0,4296.0,3.5,4.1
La Fontaine fait son cinéma,3.0,9.0,3.7,3.3
Le Fils de Saul,30.0,1568.0,4.1,3.7
Mud - Sur les rives du Mississippi,26.0,7090.0,4.1,4.2
RockNRolla,17.0,5305.0,2.8,3.8
The Green Inferno,5.0,732.0,3.6,2.7
Tous les Chats sont gris,13.0,59.0,2.7,3.5
Tout pour être heureux,17.0,1723.0,3.8,3.8
Tron l'héritage,24.0,14702.0,2.7,3.4
Un Heureux Événement,20.0,3244.0,3.0,3.6
Victoria,28.0,1430.0,4.0,4.0
Arnaques- crimes et botanique,5.0,13078.0,1.6,4.1
Faster,11.0,1443.0,2.2,2.9
Gemma Bovery,27.0,2183.0,3.4,3.4
Spring Breakers,26.0,8096.0,3.7,2.1
The Best Offer,16.0,1085.0,3.3,4.2
Transformers 2: la Revanche,20.0,18933.0,2.2,2.9
Vampire Academy,4.0,1300.0,1.8,3.1
Amour,28.0,3386.0,4.4,3.8
Case départ,16.0,7751.0,3.0,3.0
Chat noir- chat blanc,5.0,4294.0,4.4,4.0
Et ta soeur,18.0,855.0,2.4,2.3
Il était une fois,18.0,9344.0,3.4,3.3
La Nuit du chasseur,7.0,4486.0,5.0,4.3
Le Plus beau des combats,17.0,3441.0,2.8,4.1
Vue sur mer,10.0,387.0,1.9,2.4
Bienvenue à bord,13.0,4007.0,1.7,2.7
Billy Elliot,22.0,19642.0,3.7,3.9
De battre mon coeur s'est arrêté,26.0,10627.0,4.5,3.7
De l'eau pour les éléphants,22.0,5143.0,2.8,3.9
Freddy - Les Griffes de la nuit,14.0,3223.0,1.5,2.4
Infidèle,18.0,760.0,2.8,2.6
Jumper,20.0,16916.0,2.3,2.8
Le Prodige,16.0,1337.0,3.5,3.7
Les Randonneurs,5.0,2829.0,3.4,2.2
Ninja Turtles,22.0,6805.0,2.2,3.0
Paul,21.0,8254.0,2.9,3.5
Souvenir,21.0,249.0,3.0,2.9
Un peu- beaucoup- aveuglément,19.0,3365.0,3.4,3.7
Antigang,4.0,2210.0,2.3,3.1
Blanche-Neige et le chasseur,25.0,14983.0,3.2,3.3
Blanche-Neige et les sept nains,5.0,12068.0,4.4,3.9
Burn After Reading,27.0,14998.0,3.7,3.2
Constantine,18.0,14970.0,2.5,3.2
Cube,9.0,12813.0,3.2,3.3
Dans ses yeux,20.0,3325.0,3.5,4.2
Fantastic Mr. Fox,28.0,3606.0,4.3,4.2
Hors du temps,7.0,1697.0,2.0,3.6
La Chute de la Maison Blanche,8.0,4721.0,2.8,3.5
Le Limier,7.0,1133.0,4.4,4.2
Non-Stop,17.0,8198.0,2.9,3.9
Tu veux ou tu veux pas,20.0,2406.0,2.0,2.2
xXx 2 : The Next Level,8.0,3622.0,2.9,1.6
A War,19.0,316.0,3.6,3.7
American Pie 4,16.0,6976.0,1.6,3.7
Cessez-le-feu,24.0,516.0,3.4,3.8
Death Note : the Last Name,10.0,1123.0,2.6,3.3
Invictus,25.0,22862.0,4.1,4.1
Iron Man 2,20.0,30296.0,3.1,3.5
Joyeux Noël,25.0,10361.0,3.1,3.7
La Chute,27.0,8761.0,3.5,3.9
La Dame dans l'auto avec des lunettes et un fusil,18.0,604.0,2.6,2.3
Laurence Anyways,23.0,2380.0,3.5,4.2
Le Conte de la princesse Kaguya,27.0,1990.0,4.5,4.4
Les Immortels,14.0,3742.0,1.9,2.6
Man on Fire,16.0,12198.0,2.8,4.0
Mon pire cauchemar,20.0,2670.0,3.0,2.3
RoboCop,13.0,6954.0,2.6,3.0
Saw 5,11.0,4312.0,1.5,2.5
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),10.0,50899.0,4.5,4.4
Voyage au centre de la Terre 2 : L'île mystérieuse,17.0,3291.0,2.1,3.2
Wall-E,26.0,36989.0,4.6,4.3
A United Kingdom,14.0,156.0,2.8,3.7
Dragons 2,31.0,8933.0,4.0,4.4
Expendables : unité spéciale,17.0,14592.0,2.8,3.1
Jusqu'en enfer,20.0,5958.0,3.8,3.4
La Vérité si je mens ! 3,13.0,7470.0,2.2,2.7
Les Visiteurs,5.0,35682.0,3.2,3.8
Noé,27.0,8822.0,3.0,2.7
Percy Jackson : La mer des monstres,11.0,5483.0,2.0,3.2
Silent Hill,22.0,10750.0,2.9,3.0
Suburra,12.0,764.0,3.6,4.1
X-Men Origins: Wolverine,18.0,23030.0,2.3,3.2
A Girl Walks Home Alone At Night,15.0,145.0,3.1,3.3
Batman,5.0,25140.0,4.0,3.9
Ce dont rêvent les filles,2.0,842.0,2.0,3.0
Dark Places,21.0,2455.0,3.0,3.4
Gloria,22.0,511.0,3.7,3.0
La Fleur du Mal,20.0,576.0,4.1,2.4
Le Divan de Staline,14.0,122.0,2.8,2.3
Maestro,20.0,1617.0,3.8,3.9
Match Point,30.0,25095.0,4.4,3.9
Noces,24.0,382.0,3.7,3.9
Percy Jackson : le voleur de foudre,12.0,9229.0,2.5,2.8
True Grit,29.0,11800.0,4.0,3.9
Agora,19.0,3125.0,2.9,3.6
Bienvenue au Gondwana,11.0,169.0,2.4,2.7
Carrie- la vengeance,15.0,3033.0,1.5,2.9
L'Armée des morts,18.0,8507.0,3.9,3.7
L'Ecole des lapins,6.0,16.0,2.8,2.9
Le Talentueux M. Ripley,22.0,4912.0,3.4,3.4
Les Incorruptibles,6.0,17946.0,3.3,4.2
Les Yeux jaunes des crocodiles,16.0,2172.0,2.8,3.6
Pension complète,3.0,728.0,1.3,1.9
Ted,26.0,13843.0,3.6,3.4
Une Famille à Louer,20.0,1963.0,2.6,2.5
American Nightmare 2 : Anarchy,13.0,4554.0,2.8,3.5
Desierto,24.0,1522.0,3.1,3.1
Exam,8.0,1353.0,2.5,3.2
King Kong,7.0,2825.0,4.7,3.8
L'Associé du diable,8.0,14928.0,2.3,3.8
La Cité Rose,15.0,879.0,3.2,3.9
Le Grand Partage,13.0,1810.0,2.0,2.1
Le Vent se lève,26.0,78498.0,3.8,2.1
Les Cinq légendes,22.0,7770.0,3.4,4.2
Les Sentiers de la perdition,23.0,10544.0,3.7,3.9
Lettres d'Iwo Jima,25.0,7855.0,4.5,4.1
Mr. Ove,17.0,146.0,3.3,4.1
Outsider,15.0,141.0,3.1,2.8
Paris,26.0,7369.0,3.0,3.3
Public Enemies,26.0,15611.0,3.8,3.4
Unfriended,17.0,1917.0,2.1,2.4
C'est beau la vie quand on y pense,11.0,424.0,2.2,3.1
Collateral,21.0,23322.0,4.4,3.9
Je t'aime- je t'aime,3.0,116.0,4.3,3.4
Joker,12.0,1665.0,2.2,2.0
La Passion du Christ,16.0,5945.0,2.4,2.9
La Saison des femmes,12.0,532.0,3.7,4.3
Layer Cake,16.0,3230.0,3.1,3.6
Les Héritiers,21.0,2348.0,3.7,4.2
Mémoires de nos pères,28.0,7420.0,4.0,3.8
Stoker,29.0,3352.0,3.3,3.5
Un monstre à Paris,18.0,4409.0,3.4,3.9
28 semaines plus tard,21.0,12262.0,3.3,3.6
47 Ronin,19.0,4332.0,2.6,3.2
Bis,12.0,3492.0,3.2,2.8
Comme Un Avion,30.0,1784.0,4.0,3.5
Dans la maison,25.0,5368.0,3.5,3.9
Elephant Man,5.0,16223.0,4.8,4.3
Funny Games U.S.,25.0,4062.0,3.5,3.2
Jem et les Hologrammes,5.0,201.0,2.0,2.7
L'Invitation,12.0,158.0,2.8,2.6
Les Combattants,28.0,4483.0,4.1,3.8
Les Mondes de Ralph,23.0,7052.0,3.3,4.1
Les Schtroumpfs,9.0,3870.0,2.6,3.0
Mission : Impossible - Protocole fantôme,26.0,14337.0,3.8,3.8
Neruda,28.0,661.0,3.9,3.3
Philadelphia,5.0,23690.0,3.6,4.2
Sur la route,22.0,3048.0,3.0,2.9
Terminator,5.0,28651.0,4.0,4.0
The Fountain,26.0,6845.0,2.6,3.4
The Party,2.0,1656.0,5.0,3.8
Yamakasi,14.0,7779.0,3.0,1.9
A Dangerous Method,25.0,4725.0,3.5,3.0
Astérix aux Jeux Olympiques,22.0,28141.0,1.9,1.3
Banlieue 13,4.0,7946.0,2.8,2.1
Caprice,29.0,817.0,3.5,2.6
Click : Télécommandez votre vie,15.0,4861.0,2.1,2.5
Coco,20.0,7825.0,1.8,1.4
Contre-enquête,20.0,6249.0,2.1,3.4
Footloose,4.0,800.0,2.0,3.5
J. Edgar,29.0,9302.0,3.9,3.3
L'inconnu du lac,26.0,1616.0,4.2,3.1
La Colère dun homme patient,17.0,320.0,3.6,3.4
Le ciel- les oiseaux et... ta mère !,9.0,2126.0,3.2,1.8
Les Cowboys,31.0,1526.0,3.5,3.7
Locke,12.0,1198.0,3.2,2.9
Sleepers,5.0,8817.0,1.6,3.9
Sweeney Todd- le diabolique barbier de Fleet Street,27.0,23479.0,3.7,3.7
The Young Lady,29.0,691.0,3.5,3.6
14 ans- premier amour,11.0,22.0,3.1,3.4
Extrêmement fort et incroyablement près,19.0,2732.0,2.6,3.8
I Love You- Beth Cooper,2.0,497.0,1.0,2.1
L'Opéra,20.0,344.0,4.1,3.9
L.A. Confidential,5.0,11828.0,4.8,4.0
La Résurrection du Christ,7.0,735.0,2.3,3.7
Le Diable s'habille en Prada,26.0,23777.0,3.2,3.4
Le Gang des Antillais,8.0,203.0,2.6,3.2
Le Roi Arthur,11.0,7593.0,2.8,2.8
Le Septième fils,9.0,2382.0,2.3,2.1
Les Enfants de Timpelbach,18.0,1265.0,2.8,3.0
Maman a tort,25.0,246.0,3.3,3.5
Men- Women & Children,22.0,804.0,2.3,3.4
OSS 117 : Rio ne répond plus,28.0,20929.0,4.1,3.5
Prince of Persia : les sables du temps,22.0,17556.0,2.6,3.4
Robin des Bois,21.0,16508.0,3.4,3.2
Romeo + Juliette,5.0,17649.0,1.4,3.7
Scream,2.0,16452.0,5.0,3.6
Sleepy Hollow- la légende du cavalier sans tête,24.0,39918.0,4.4,4.1
The Grudge,18.0,7068.0,2.8,2.7
Vanilla Sky,19.0,11490.0,3.3,3.3
Voyage au centre de la Terre,20.0,4634.0,3.0,2.7
Camping 2,14.0,7235.0,2.6,1.7
Elephant,14.0,12590.0,4.4,3.6
Forces spéciales,14.0,3062.0,1.2,3.7
Into the Woods- Promenons-nous dans les bois,30.0,1981.0,2.9,2.4
La vérité si je mens,5.0,10181.0,3.0,2.9
Le Coeur des hommes,15.0,6294.0,3.3,3.3
Les Vacances de Mr. Bean,21.0,5293.0,2.4,2.1
Love & Friendship,24.0,595.0,3.9,3.0
Maggie,24.0,1965.0,3.0,2.3
O'Brother,24.0,17811.0,4.0,3.8
Pompéi,8.0,5643.0,2.6,2.7
Shaun le mouton,26.0,2532.0,4.3,4.0
Une nouvelle amie,28.0,2900.0,3.5,3.3
Warm Bodies,18.0,6035.0,3.3,3.8
Aux yeux de tous,19.0,1321.0,3.1,3.3
Hyper tension,11.0,6358.0,2.8,2.9
Jamais le premier soir,7.0,3585.0,2.1,3.0
Le Dernier roi d'Ecosse,25.0,10529.0,3.7,4.0
Les Indestructibles,22.0,32329.0,4.5,3.9
Les Misérables,25.0,3543.0,2.3,3.2
Les Petits princes,13.0,1363.0,3.2,4.1
Ma vie pour la tienne,13.0,1734.0,2.1,4.1
Night and Day,16.0,10019.0,2.9,3.1
Only Lovers Left Alive,29.0,2921.0,3.9,3.8
Paris pieds nus,21.0,190.0,3.0,3.8
Ray,29.0,16268.0,4.1,4.1
True Romance,5.0,8384.0,2.4,4.0
Un air de famille,4.0,5877.0,3.0,3.9
Clones,23.0,7408.0,2.7,2.7
Démineurs,27.0,10077.0,4.1,3.7
Elle s'appelait Sarah,23.0,3100.0,3.3,4.1
Fast & Furious,14.0,17439.0,3.0,2.9
Identité Secrète,8.0,3841.0,1.4,2.6
In the Mood for Love,26.0,5868.0,4.6,4.0
Iqbal- l'enfant qui navait pas peur,18.0,40.0,3.8,3.4
Joyeuse Fête des Mères,6.0,798.0,3.0,2.6
La Mort de Louis XIV,24.0,179.0,3.9,3.1
La source des femmes,20.0,1696.0,2.4,3.8
La Traversée du temps,20.0,1748.0,3.8,4.0
Le Château ambulant,27.0,18162.0,4.3,4.2
Le Vaisseau de l'angoisse,9.0,2625.0,2.7,2.0
Le Voyage en ballon,7.0,4.0,3.3,3.2
Les Sous-doués,4.0,7743.0,2.5,2.9
Rebelle,19.0,10341.0,3.5,3.9
Rosemary's Baby,7.0,5179.0,4.9,4.0
Spartacus & Cassandra,16.0,171.0,4.1,4.1
The Door,9.0,864.0,2.3,2.1
The Mask,5.0,33654.0,3.2,3.8
The Riot Club,14.0,1384.0,2.9,2.7
Alien- la résurrection,5.0,14822.0,3.4,3.7
Astérix et Obélix : au service de Sa Majesté,27.0,9098.0,3.2,1.8
Coup de foudre à Notting Hill,13.0,16809.0,3.8,3.4
Eden Lake,22.0,3148.0,3.0,3.4
La Part des Anges,26.0,3548.0,3.5,4.0
La Taularde,23.0,672.0,3.3,3.2
Le Nom des gens,25.0,5249.0,3.7,3.8
Le Vélo de Ghislain Lambert,9.0,1803.0,2.8,2.5
L Interview qui tue !,14.0,2582.0,2.1,3.2
Macadam Popcorn,8.0,18.0,3.4,3.6
Rien que pour vos cheveux,14.0,3352.0,3.1,2.7
The Punisher,8.0,4299.0,2.9,2.4
Zulu,16.0,3463.0,3.3,3.9
Alceste à bicyclette,20.0,2716.0,3.6,3.5
American Ultra,10.0,2820.0,2.9,3.1
Aviator,29.0,16381.0,4.0,3.6
Deux jours- une nuit,21.0,2993.0,4.0,3.4
Edward aux mains d'argent,5.0,54461.0,4.4,4.4
Fighter,25.0,7343.0,3.9,4.1
L'Eté de Kikujiro,16.0,1669.0,4.0,3.8
La Colère des Titans,5.0,6219.0,1.8,2.5
La Loi du marché,21.0,3370.0,3.8,3.2
Laisse-moi entrer,19.0,1961.0,3.2,3.5
Le Terminal,19.0,16329.0,3.3,3.7
Légendes d'automne,5.0,6885.0,2.0,3.8
Les 11 commandements,12.0,13387.0,2.8,1.7
Les Beaux Gosses,24.0,7060.0,4.3,2.9
Les Initiés,15.0,85.0,3.6,3.5
Morse,20.0,3802.0,4.1,4.0
Starship Troopers,5.0,15607.0,3.2,3.7
Still Alice,21.0,2353.0,3.2,4.1
Target,17.0,3931.0,1.8,3.3
The Chaser,26.0,3563.0,4.1,4.2
The November Man,22.0,1733.0,2.7,3.0
TINI  La nouvelle vie de Violetta,5.0,247.0,2.4,3.8
Upside Down,15.0,4794.0,2.1,3.3
A la croisée des mondes : la boussole d'or,19.0,14111.0,2.6,2.8
Alexandre,24.0,10972.0,3.0,2.5
Annie,15.0,476.0,1.9,2.9
Astérix et Obélix contre César,18.0,17485.0,3.1,2.0
Braquage à l'italienne,10.0,12776.0,3.3,3.5
Docteur Frankenstein,8.0,1725.0,3.5,2.9
Entretien avec un vampire,5.0,22761.0,3.2,4.0
Grease,5.0,12270.0,2.4,3.6
La Grande Aventure Lego,20.0,6016.0,4.1,4.0
La Guerre des Boutons,19.0,2379.0,2.6,3.0
Le Crocodile du Botswanga,7.0,4528.0,3.4,2.5
Le Projet Blair Witch,12.0,12418.0,3.6,2.9
Les Brasiers de la Colère,18.0,3668.0,2.8,3.5
Marie-Antoinette,21.0,13058.0,4.0,3.3
Message from the King,20.0,401.0,2.8,3.6
Moulin Rouge !,21.0,21728.0,3.7,3.8
Populaire,24.0,6053.0,3.8,3.8
Possédée,13.0,2253.0,2.1,2.9
Rencontre avec Joe Black,11.0,11748.0,2.7,3.7
S.O.S. Fantômes,5.0,21533.0,3.2,3.9
The Duchess,22.0,3020.0,3.4,3.6
The Holiday,18.0,10923.0,2.4,3.5
Tout de suite maintenant,26.0,603.0,3.5,2.7
Un amour d'hiver,9.0,969.0,1.8,2.8
11.6,21.0,1857.0,3.1,2.6
Et si c'était vrai...,21.0,4705.0,2.5,2.8
Le Sel de la terre,21.0,1244.0,3.5,4.4
Les Larmes du soleil,3.0,5113.0,2.0,3.2
Made in France,14.0,888.0,3.3,3.2
New York Melody,22.0,3608.0,3.2,4.0
Paulette,9.0,2861.0,2.6,3.4
Petits meurtres à l'Anglaise,19.0,2151.0,3.1,3.7
S.W.A.T. unité d'élite,13.0,6393.0,2.5,2.4
Sécurité rapprochée,15.0,4126.0,2.7,3.5
Supercondriaque,23.0,9613.0,2.4,2.9
Taxi 3,8.0,16614.0,2.8,1.4
Tracks,16.0,297.0,3.3,3.8
Trouble jeu,16.0,2488.0,2.6,3.1
Un Paese di Calabria,7.0,20.0,3.4,3.4
Blue Jasmine,31.0,6619.0,4.2,3.7
Dark Skies,19.0,2316.0,2.6,3.2
Elle l'adore,30.0,3057.0,3.7,3.7
Jeux de Pouvoir,26.0,4381.0,3.7,3.6
Le Magicien d'Oz,5.0,2663.0,3.6,3.8
Les Croods,18.0,5755.0,3.8,4.1
Magic Mike,16.0,3633.0,3.4,3.1
Night Run,6.0,2460.0,2.5,3.4
Romance,18.0,239.0,3.2,1.9
Takers,10.0,1806.0,2.1,3.2
Vicky Cristina Barcelona,30.0,12493.0,3.9,3.5
Big Eyes,36.0,4677.0,3.2,3.8
Entre deux rives,13.0,2693.0,2.2,3.3
Et après,18.0,1808.0,2.2,2.3
Fenêtre secrète,13.0,8095.0,3.0,3.3
Ghost Rider,13.0,13659.0,1.7,1.9
La Grande bouffe,1.0,1221.0,5.0,3.4
Les Recettes du bonheur,15.0,1381.0,2.3,3.7
My Name Is Khan,17.0,751.0,3.4,4.3
Nausicaä de la vallée du vent,26.0,7472.0,4.5,4.2
Oldboy,16.0,1433.0,2.4,2.8
Premiers crus,11.0,723.0,2.3,3.1
Riddick,5.0,4586.0,2.6,2.9
Saint Laurent,30.0,2445.0,4.0,2.9
Walkyrie,25.0,7996.0,3.3,3.7
A second chance,16.0,165.0,2.5,3.6
Ali G,12.0,4361.0,3.3,2.6
Antichrist,24.0,2518.0,2.2,2.4
Casse-tête chinois,19.0,6812.0,3.4,3.9
Cheval de guerre,30.0,5391.0,3.5,4.0
Comment tuer son Boss ?,18.0,7111.0,2.6,3.1
Funny Games,5.0,2447.0,3.8,3.8
La Dame en noir,19.0,5997.0,3.1,3.5
La Tour 2 Contrôle Infernale,25.0,2021.0,3.1,1.5
Las Vegas 21,15.0,9900.0,3.0,3.5
Le Pacte des loups,24.0,15643.0,3.5,3.1
Le Stratège,22.0,4127.0,4.0,3.8
Les Enquêtes du Département V : Profanation,11.0,1152.0,3.1,3.9
Lincoln,32.0,7887.0,3.9,3.6
Ma Meilleure Amie,19.0,552.0,2.8,4.0
Peter Pan,12.0,4665.0,3.8,3.5
Pyramide,13.0,1912.0,2.7,1.7
SuperGrave,17.0,4378.0,3.0,2.8
The Lady,24.0,2195.0,2.4,3.9
Walk the Line,24.0,8335.0,3.8,4.0
White House Down,19.0,5944.0,2.9,3.4
You're Next,18.0,1937.0,3.3,3.0
Hitch - Expert en séduction,20.0,18523.0,3.0,3.2
La Proposition,20.0,5387.0,2.5,3.2
Les Chevaliers du Zodiaque -  La Légende du Sanctuaire,17.0,1613.0,2.4,2.3
Mad Max,1.0,9170.0,4.0,3.6
Paranoiak,11.0,8038.0,2.2,3.6
Projet Almanac,11.0,2556.0,2.0,3.4
Rocky IV,5.0,6463.0,1.8,3.2
Sept ans au Tibet,5.0,10000.0,2.6,3.8
Shortbus,21.0,1984.0,4.1,3.2
The Ryan Initiative,19.0,3858.0,3.1,2.9
Thirteen,14.0,4532.0,3.9,3.4
Un jour- peut-être,10.0,1648.0,3.0,3.4
21 nuits avec Pattie,21.0,1157.0,4.1,2.7
3 Days to Kill,8.0,2378.0,2.0,2.7
Angel-A,19.0,3982.0,2.8,2.4
Au-delà de nos rêves,5.0,1295.0,2.0,3.6
Braquage à l'Anglaise,17.0,6560.0,3.8,3.5
Hooligans,14.0,8353.0,2.6,3.8
Hulk,12.0,11594.0,3.2,1.9
Hunger,27.0,2422.0,4.3,3.9
L'Imaginarium du Docteur Parnassus,24.0,7672.0,3.2,3.3
La Guerre des Mondes,22.0,31853.0,4.2,3.1
La Môme,27.0,20157.0,4.0,3.7
La Vie de David Gale,15.0,7117.0,2.7,4.0
Les Premiers- les Derniers,21.0,718.0,3.8,3.5
Les Trois prochains jours,21.0,2834.0,2.9,3.7
On lappelle Jeeg Robot,21.0,432.0,3.3,3.4
Open water en eaux profondes,15.0,2165.0,3.9,2.1
Scary Movie,20.0,18457.0,3.3,2.9
Star Wars : Episode III - La Revanche des Sith,23.0,53181.0,3.9,4.2
The Thing,17.0,2350.0,2.5,3.0
Tucker & Dale fightent le mal,19.0,4084.0,3.7,3.9
Une famille très moderne,7.0,1257.0,1.9,2.4
World Invasion : Battle Los Angeles,10.0,6144.0,2.9,2.6
Gomorra,23.0,3258.0,4.4,3.3
Immortel (ad vitam),19.0,3481.0,4.1,2.4
Intimité,22.0,180.0,4.1,3.4
John Rambo,21.0,10349.0,2.6,3.4
L'étreinte du serpent,17.0,500.0,4.1,4.2
La Somme de toutes les peurs,16.0,1650.0,2.5,2.4
Le Jour où la Terre s'arrêta,17.0,8955.0,2.5,2.0
Le Rite,14.0,3571.0,2.1,2.7
Les Chemins de la liberté,23.0,4692.0,3.1,3.8
Les Jeux des nuages et de la pluie,9.0,1211.0,2.8,4.3
Macbeth,19.0,1300.0,3.2,3.0
Nos souvenirs,25.0,438.0,1.8,2.9
Scooby-Doo,12.0,4688.0,2.7,1.7
Sublimes créatures,17.0,5248.0,2.9,2.9
Trance,26.0,4481.0,2.9,3.8
#Chef,21.0,1608.0,2.8,3.7
A Toute Épreuve,12.0,1135.0,3.0,3.2
Before Midnight,24.0,772.0,3.4,3.6
Ben-Hur,7.0,5734.0,3.3,3.9
Evil Dead,6.0,5719.0,4.3,3.7
H2G2 : le guide du voyageur galactique,18.0,6182.0,3.5,2.7
L'Avenir,27.0,991.0,3.8,3.2
La 25ème heure,20.0,7046.0,3.9,4.0
La Délicatesse,20.0,3449.0,2.5,3.5
La Dream Team,12.0,607.0,2.8,2.9
La Légende de Manolo,15.0,932.0,3.6,4.0
Land of the dead (le territoire des morts),23.0,4722.0,3.8,2.9
Modern Love,19.0,823.0,2.2,2.1
Rien à déclarer,25.0,13295.0,2.2,2.5
(S)ex List,10.0,2056.0,2.2,3.0
3 Zéros,18.0,3674.0,3.4,1.4
All Is Lost,27.0,1697.0,3.9,3.3
Brazil,1.0,9352.0,5.0,4.1
Closer- entre adultes consentants,23.0,7071.0,3.7,3.0
Et maintenant on va où ?,19.0,1571.0,3.7,4.2
Insidious : Chapitre 2,14.0,3181.0,2.3,3.6
La femme au tableau,13.0,2003.0,3.4,4.1
Le Territoire des Loups,22.0,5468.0,3.5,3.5
Magnolia,22.0,5450.0,3.7,3.7
Melaza,9.0,12.0,3.3,2.7
Rocky Balboa,27.0,12335.0,3.7,3.6
Selma,31.0,2600.0,3.3,4.1
Spartacus,1.0,3538.0,3.0,3.9
Un long dimanche de fiançailles,20.0,19426.0,4.1,3.5
Zombie,4.0,3113.0,3.3,3.8
Bodyguard,4.0,10559.0,2.3,3.4
Brice de Nice,20.0,28522.0,2.8,1.8
Ce que pensent les hommes,16.0,4072.0,1.9,2.6
Chroniques sexuelles d'une famille d'aujourd'hui,12.0,491.0,2.2,1.8
Dernières nouvelles du cosmos,19.0,162.0,3.8,4.4
Devdas,16.0,1295.0,4.1,3.7
Enter the Void,26.0,2226.0,3.0,3.3
Entre les murs,28.0,6727.0,4.5,3.3
Eragon,20.0,16925.0,2.7,2.2
Free Love,17.0,666.0,2.8,3.9
Good Bye- Lenin!,15.0,17913.0,3.6,4.0
Harmonium,21.0,369.0,3.8,3.8
Jack et la mécanique du cur,17.0,2586.0,3.5,4.0
Khamsa,22.0,310.0,4.2,3.4
L'Adversaire,20.0,1175.0,3.3,3.1
Le Flingueur,14.0,2553.0,2.5,3.1
Le Grand soir,27.0,2916.0,3.7,2.6
Le Règne du feu,14.0,4959.0,2.8,2.5
Les Rivières pourpres,24.0,13878.0,3.1,3.2
Mea Culpa,19.0,2354.0,2.8,3.4
Rock,5.0,17821.0,2.6,3.7
Sex fans des sixties,14.0,77.0,3.4,3.1
Stupeur et tremblements,19.0,1976.0,3.6,2.9
Taken 2,15.0,11078.0,1.7,3.0
The Box,27.0,5704.0,3.5,2.3
Yes Man,21.0,12360.0,3.2,3.5
22 Jump Street,21.0,5058.0,3.5,3.5
A nous quatre,5.0,1234.0,3.0,3.3
A.I. Intelligence artificielle,14.0,14675.0,3.4,3.3
Beasts of No Nation,5.0,588.0,3.8,4.2
Comme des frères,15.0,3503.0,3.5,3.9
Comme un Chef,6.0,2292.0,2.0,2.8
Course à la mort,17.0,4426.0,2.2,2.9
Dream Boat,5.0,19.0,1.8,2.9
Easy Rider,6.0,3684.0,3.7,3.8
Good Kill,27.0,1340.0,2.6,3.2
Hanna,12.0,2450.0,2.8,3.3
Juno,25.0,24600.0,3.9,3.9
La Jeune Fille Sans Mains,21.0,140.0,4.1,3.9
