titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Un Sac De Billes,17.0,2133.0,3.1,4.3
Comme des bêtes,28.0,5365.0,3.5,3.6
John Wick,15.0,5500.0,2.9,3.6
Le Prestige,29.0,25790.0,3.2,4.2
T2 Trainspotting,28.0,1182.0,3.1,3.5
Afrika Corse,3.0,14.0,2.0,3.6
Memento,18.0,21778.0,3.7,4.2
Rocco,16.0,251.0,2.9,3.7
La Fille du train,22.0,2931.0,2.4,3.4
Assassin's Creed,21.0,6901.0,2.7,3.1
Dernier train pour Busan,29.0,4494.0,4.0,4.1
Rogue One: A Star Wars Story,30.0,15793.0,3.7,4.2
Warcraft : Le commencement,11.0,8508.0,2.5,4.0
Instinct de survie - The Shallows,21.0,3054.0,2.9,3.1
Creepy,24.0,307.0,3.8,3.0
Fences,22.0,1005.0,2.8,3.5
Her,34.0,11759.0,3.9,4.1
Alliés,24.0,3940.0,2.8,3.5
War Dogs,23.0,3296.0,3.4,3.8
Le Lauréat,5.0,4061.0,2.8,4.0
Loving,45.0,1539.0,3.8,3.8
Mr Wolff,25.0,3377.0,3.0,4.0
Doctor Strange,17.0,9175.0,3.1,4.1
À fond,9.0,1696.0,2.9,2.6
Sword Art Online Movie,5.0,485.0,2.8,4.4
Five,24.0,5265.0,3.0,4.0
Manchester By the Sea,26.0,3801.0,4.5,4.2
A vif !,22.0,2767.0,2.3,3.0
Quelques minutes après minuit,30.0,1326.0,3.2,4.2
Le Cercle - Rings,7.0,917.0,1.7,1.8
Terminator 2 : le Jugement Dernier 3D,5.0,30986.0,3.8,4.2
Batman v Superman : LAube de la Justice,25.0,15619.0,2.6,3.6
Entre deux rives,14.0,49.0,2.9,3.6
Miss Peregrine et les enfants particuliers,34.0,8663.0,3.7,4.0
Wallay,12.0,75.0,3.1,4.0
Nocturnal Animals,34.0,3359.0,2.9,3.8
À bras ouverts,17.0,1236.0,1.8,2.0
Gone Girl,35.0,21315.0,4.0,4.3
Cinquante Nuances de Grey,22.0,10557.0,2.1,2.6
Don't Breathe - La maison des ténèbres,16.0,2380.0,3.6,3.8
Rembrandt fecit 1669,4.0,23.0,3.3,2.6
La Planète des singes : l'affrontement,33.0,15711.0,3.6,4.0
Dans la forêt,29.0,244.0,3.3,2.5
Arizona Dream,5.0,6956.0,4.2,3.8
Juste La Fin Du Monde,44.0,5363.0,3.2,3.7
Prisoners,20.0,18957.0,3.8,4.4
Ballerina,17.0,1441.0,3.5,4.1
N'oublie jamais,13.0,10213.0,2.6,4.3
X-Men: Apocalypse,25.0,10421.0,2.5,3.7
Nos étoiles contraires,22.0,10677.0,2.8,4.3
Live By Night,29.0,1911.0,2.9,3.3
Problemos,27.0,846.0,3.3,2.5
Éternité,13.0,588.0,2.8,2.2
Snowden,32.0,3752.0,3.3,4.0
Room,31.0,4216.0,3.6,4.4
Le Livre de la jungle,26.0,8433.0,3.8,4.2
La Rage au ventre,11.0,8323.0,3.4,4.3
Nothingwood,16.0,103.0,4.0,3.7
Independence Day : Resurgence,29.0,5535.0,2.3,2.3
Deadpool,22.0,22114.0,3.0,4.2
Sahara,13.0,547.0,2.5,3.1
Le Fondateur,20.0,1097.0,3.1,3.8
Love,27.0,1233.0,3.3,3.2
Insaisissables 2,10.0,7327.0,2.9,3.5
Midnight Special,36.0,4099.0,4.1,3.3
The Revenant,45.0,17613.0,3.8,4.2
Tamara,5.0,1517.0,3.2,3.9
The Nice Guys,21.0,4749.0,3.7,3.8
Rester Vertical,27.0,464.0,3.7,2.6
Tarzan,24.0,5319.0,3.0,3.3
